,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5365001,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Toosie Slide",Drake,4831704,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
3,"Roses - Imanbek Remix","SAINt JHN",4639971,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"THE SCOTTS","THE SCOTTS",4524524,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3895932,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3717591,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"Don't Start Now","Dua Lipa",3540204,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
8,"Dance Monkey","Tones And I",3199957,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"The Box","Roddy Ricch",3185660,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,"Blueberry Faygo","Lil Mosey",3054639,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,"Say So","Doja Cat",3048202,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,"Break My Heart","Dua Lipa",2678070,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,Supalonely,BENEE,2676437,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
14,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",2469443,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
15,"Intentions (feat. Quavo)","Justin Bieber",2401423,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,Falling,"Trevor Daniel",2336755,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
17,"Sunday Best",Surfaces,2281873,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"SICKO MODE","Travis Scott",2183885,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,goosebumps,"Travis Scott",2173268,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
20,"Someone You Loved","Lewis Capaldi",2114484,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Boss Bitch","Doja Cat",2108194,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
22,"Be Kind (with Halsey)",Marshmello,2107751,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
23,Righteous,"Juice WRLD",2101049,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
24,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2058401,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
25,"Yo Perreo Sola","Bad Bunny",2029867,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
26,Circles,"Post Malone",2029813,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
27,ROXANNE,"Arizona Zervas",1996656,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,Safaera,"Bad Bunny",1949104,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
29,"HIGHEST IN THE ROOM","Travis Scott",1897314,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
30,"WHATS POPPIN","Jack Harlow",1892948,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
31,"In Your Eyes","The Weeknd",1846035,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
32,Tusa,"KAROL G",1828958,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"Adore You","Harry Styles",1798775,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
34,"Pain 1993 (with Playboi Carti)",Drake,1741452,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
35,Physical,"Dua Lipa",1714681,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
36,"Life Is Good (feat. Drake)",Future,1691544,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
37,Favorito,Camilo,1641367,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
38,"eight(Prod.&Feat. SUGA of BTS)",IU,1618492,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
39,"Before You Go","Lewis Capaldi",1608397,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,Rojo,"J Balvin",1586924,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
41,Memories,"Maroon 5",1575626,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
42,"bad guy","Billie Eilish",1573866,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
43,Savage,"Megan Thee Stallion",1560813,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
44,"Play Date","Melanie Martinez",1560796,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
45,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1544073,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
46,Señorita,"Shawn Mendes",1485913,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
47,"Breaking Me",Topic,1425794,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
48,"everything i wanted","Billie Eilish",1384151,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
49,"Godzilla (feat. Juice WRLD)",Eminem,1381987,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
50,Skechers,DripReport,1352687,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
51,"Chicago Freestyle (feat. Giveon)",Drake,1345205,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
52,"Ride It",Regard,1286533,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
53,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1272780,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
54,"Say So (feat. Nicki Minaj)","Doja Cat",1238713,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
55,PORFA,Feid,1237542,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
56,Tattoo,"Rauw Alejandro",1236981,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
57,Amarillo,"J Balvin",1206323,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
58,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1205367,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
59,"lovely (with Khalid)","Billie Eilish",1202694,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
60,"La Difícil","Bad Bunny",1193733,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
61,"I’m Ready (with Demi Lovato)","Sam Smith",1185142,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
62,Ignorantes,"Bad Bunny",1182129,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
63,"Lose Control",MEDUZA,1126212,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
64,Salt,"Ava Max",1104513,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
65,"Lucid Dreams","Juice WRLD",1095370,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
66,"hot girl bummer",blackbear,1073362,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
67,Morado,"J Balvin",1071289,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
68,"After Party","Don Toliver",1063987,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
69,"I Don't Care (with Justin Bieber)","Ed Sheeran",1058053,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
70,"Si Veo a Tu Mamá","Bad Bunny",1042045,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
71,"RITMO (Bad Boys For Life)","Black Eyed Peas",1027422,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
72,Yummy,"Justin Bieber",1020932,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
73,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1020113,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
74,Diosa,"Myke Towers",1015650,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
75,"Like It Is",Kygo,1014087,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
76,"You should be sad",Halsey,980433,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
77,"High Fashion (feat. Mustard)","Roddy Ricch",974679,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
78,"Level of Concern","Twenty One Pilots",973237,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
79,"BELIEVE IT",PARTYNEXTDOOR,969509,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
80,"CITY OF ANGELS",24kGoldn,951678,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
81,"Ballin' (with Roddy Ricch)",Mustard,949116,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
82,"Like That (feat. Gucci Mane)","Doja Cat",937131,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
83,"10,000 Hours (with Justin Bieber)","Dan + Shay",934128,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
84,Shallow,"Lady Gaga",930354,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
85,"when the party's over","Billie Eilish",922302,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
86,"Beautiful People (feat. Khalid)","Ed Sheeran",917453,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
87,"Know Your Worth",Khalid,916510,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
88,Selfish,"Madison Beer",911293,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
89,"My Oh My (feat. DaBaby)","Camila Cabello",905787,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
90,"In Your Eyes (feat. Alida)","Robin Schulz",883627,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
91,"Qué Maldición","Banda Sinaloense MS de Sergio Lizárraga",881451,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
92,"7 rings","Ariana Grande",880400,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
93,"Sigues Con El","Dímelo Flow",877041,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
94,Believer,"Imagine Dragons",872380,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
95,Vete,"Bad Bunny",871043,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
96,"Party Girl",StaySolidRocky,868681,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
97,"rockstar (feat. 21 Savage)","Post Malone",858429,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
98,"Hola - Remix",Dalex,849281,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
99,P2,"Lil Uzi Vert",846580,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
100,"Nicht verdient","Capital Bra",842811,https://open.spotify.com/track/7v8OynJxOxHoeS5C2UA9Y7
101,"This City","Sam Fischer",842461,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
102,Falling,"Harry Styles",838238,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
103,MAMACITA,"Black Eyed Peas",829012,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
104,"La Santa","Bad Bunny",828205,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
105,"Kings & Queens","Ava Max",827438,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
